BE-eV	Intensity
0	-0.002287179
0.03	-0.0011435895
0.06	0.04315415
0.09	0.0863083
0.12	0.04315415
0.15	-0.088013125
0.17	-0.264612625
0.2	-0.3097669
0.23	-0.177748425
0.26	0.000579450000000002
0.29	0.09032095
0.31	0.045160475
0.34	0
0.37	0.0463344
0.4	0.139299825
0.42	0.18652535
0.45	0.140488825
0.48	0.094457375
0.5	0.047226775
0.53	-0.048131875
0.55	-0.047830175
0.5799999	0.048742925
0.6099999	0.1955853
0.6299999	0.343657475
0.6599998	0.29553075
0.6799998	0.048737775
0.7099998	-0.09995575
0.7299998	0.000625199999999999
0.7599998	0.10120615
0.7799997	-0.000630424999999997
0.8099997	-0.102467
0.8299997	0.000635625000000001
0.8499997	0.208116
0.8799996	0.365644575
0.8999996	0.420082375
0.9299996	0.369505475
0.9499996	0.265458
0.9699996	0.2139258
0.9999995	0.215231225
1.02	0.21654195
1.039999	0.1630635
1.069999	0.054464175
1.089999	0
1.109999	0
1.129999	0
1.159999	-0.056466275
1.179999	-0.226541825
1.199999	-0.397973575
1.219999	-0.4571577
1.239999	-0.3442306
1.269999	-0.114970925
1.289999	0
1.309999	0.05886335
1.329999	0.176937925
1.349999	0.2368463
1.369999	0.178332225
1.389999	-0.000702600000000005
1.409999	-0.18114265
1.429999	-0.2424672
1.449999	-0.18255885
1.469999	-0.0609712
1.499999	-0.06204375
1.519999	-0.1240875
1.539999	0.000721949999999999
1.559999	0.251788975
1.579999	0.442267375
1.599999	0.380230625
1.609999	0.126986525
1.629999	0
1.649999	-0.12993035
1.669999	-0.325197375
1.689999	-0.3263133
1.709999	-0.196755875
1.729999	-0.0657096
1.749999	0
1.769999	0.06721545
1.789999	0.1344309
1.809999	-0.000761474999999998
1.819999	-0.20431365
1.839999	-0.204696525
1.859999	-0.0683598
1.879999	0.139034175
1.899999	0.417879775
1.909999	0.62954445
1.929999	0.70296095
1.949999	0.5647171
1.969999	0.355010075
1.979999	0.285900475
1.999999	0.21521605
2.019999	0.07187065
2.039999	0
2.049999	0.073468875
2.069999	0.442426
2.089998	0.8872757
2.099998	0.9651977
2.119998	0.670927925
2.139998	0.0730494
2.159998	-0.45381945
2.169998	-0.4546407
2.189998	-0.22855665
2.199998	0.000830174999999989
2.219998	0.309436
2.239998	0.3874232
2.249998	0.155133825
2.269998	-0.157651175
2.279998	-0.236057975
2.299998	-0.07882635
2.319998	-0.080098575
2.329998	-0.32124855
2.349998	-0.564109975
2.359998	-0.647637525
2.379998	-0.56926255
2.389998	-0.408650425
2.409998	-0.2463147
2.419998	0.083991175
2.439998	0.49959695
2.449998	0.584469775
2.469998	0.41954875
2.479998	0.42263465
2.499998	0.6799335
2.509998	0.9390173
2.529998	0.77059275
