be	'sm-int'
0	0
0.008	0
0.032	0
0.064	0
0.096	-0.041404875
0.128	-0.124494875
0.16	-0.166741725
0.184	-0.125618325
0.216	-0.0419666
0.248	0
0.272	0
0.304	0
0.336	0
0.36	0
0.392	0
0.416	0.0445573
0.448	0.0891146
0.472	-0.000589824999999995
0.504	-0.09029425
0.528	-0.045147125
0.56	0
0.584	0.046342325
0.608	0.13932905
0.64	0.1865789
0.664	0.14053995
0.688	0.046947775
0.72	0
0.744	0
0.7679999	0.0484844
0.8	0.145764475
0.8239999	0.14607575
0.8479999	0.048795675
0.8719999	0
0.8959999	0
0.9199999	0
0.9519999	-0.05069145
0.9759999	-0.1013829
0.9999999	-0.05069145
1.024	0
1.048	0
1.072	0.052308275
1.096	0.15725225
1.12	0.210544175
1.144	0.1585647
1.168	0.0529645
1.192	-0.0539591
1.208	-0.1079182
1.232	-0.0539591
1.256	0
1.28	0
1.304	0
1.328001	0
1.352001	0
1.368001	0.0566721
1.392001	0.170361675
1.416001	0.342799825
1.440001	0.401203025
1.456001	0.2301548
1.480001	0.174537075
1.504001	0.233653525
1.520001	0.175943925
1.544001	0.05876545
1.568001	0
1.584001	0.060189275
1.608001	0.180927325
1.624001	0.24219655
1.648001	0.182368225
1.672001	0.060909725
1.688001	0
1.712001	0
1.728001	0
1.752001	0
1.768001	0.06347655
1.792001	0.19080215
1.808002	0.19117465
1.824002	-0.06534765
1.848002	-0.3233686
1.864002	-0.2591471
1.888002	0.000758074999999997
1.904002	0.2636956
1.920002	0.463185875
1.944002	0.465099475
1.960002	0.26675735
1.976002	0.066881425
2.000002	0
2.016002	0
2.032002	0
2.056002	0
2.072002	0
2.088002	0
2.104002	0
2.128002	0
2.144002	0
2.160002	0.14321535
2.176002	0.4304533
2.192002	0.576093375
2.216002	0.43368825
2.232002	0.071601625
2.248002	-0.2937442
2.264002	-0.3677948
2.280002	-0.072816975
2.296002	0.298687875
2.312002	0.449276175
2.328002	0.300348025
2.344002	0.0752949
2.368002	0
2.384002	0
2.400002	0
2.416002	0
2.432002	0
2.448002	0
2.464002	0
2.480002	0
2.496002	0.0799707
2.512002	0.240346525
2.528003	0.24078095
2.536002	-0.000873550000000001
2.552002	-0.325993
2.568002	-0.408149975
2.584002	-0.16343565
2.600003	0
2.616003	0
2.632003	0
2.648003	0
2.664003	0
2.672003	0
2.688003	-0.0857415
2.704003	-0.25767955
2.720003	-0.344787825
2.736003	-0.3466145
2.752003	-0.173304825
2.760003	0.35213005
2.776003	0.8812569
2.792003	0.706114
2.808003	-0.091287775
2.816003	-0.4466693
2.832003	-0.088489525
2.848003	0.2715655
2.864003	0.454654575
2.872003	0.6396385
