wave0	wave1_smth
0	-0.4337035
0.02	-0.564668925
0.045	-0.69848855
0.075	-0.658834275
0.105	-0.307585825
0.135	-2.49999999998862e-06
0.16	-0.090193175
0.19	-0.04422345
0.215	-0.046270875
0.245	-0.3206693
0.27	-0.320965375
0.3	-0.1385291
0.325	-0.140014625
0.35	-0.187483775
0.38	-0.1886834
0.405	-0.142113975
0.43	-0.047471725
0.455	-0.04838295
0.485	-0.048076625
0.5100001	0.0489956
0.535	-0.049922275
0.56	-0.1972231
0.585	-0.1984665
0.61	-0.40067095
0.6349999	-0.60288575
0.6599999	-0.504918
0.6849999	-0.458147225
0.7099999	-0.4603629
0.7349998	-0.256568425
0.7549998	0.104929
0.7799998	0.312867
0.8049998	0.1564335
0.8299997	-0.1062288
0.8549997	-0.26589795
0.8749997	-0.266877125
0.8999997	-0.2691681
0.9249997	-0.324578825
0.9449996	-0.1075299
0.9699996	0.274784075
0.9899996	0.32987555
1.015	0.22169915
1.035	0.503518325
1.06	0.841782425
1.08	0.846179475
1.105	0.73771915
1.125	0.57046395
1.145	0.228454375
1.169999	2.74999999999581e-06
1.189999	0.05848815
1.209999	-0.000692399999999996
1.234999	0.059883925
1.254999	0.2367496
1.274999	0.23815365
1.294999	0.1793152
1.314999	0.1204878
1.334999	0.243098225
1.359999	0.181789525
1.379999	-0.123336025
1.399999	-0.308704975
1.419999	-0.434564075
1.439999	-0.37361825
1.459999	-0.0616631
1.479999	-0.1276972
1.499999	-0.38089625
1.519999	-0.19045025
1.539999	-0.19376355
1.554999	-0.19265245
1.574999	0.130661875
1.594999	0.19562575
1.614999	0.3957413
1.634999	0.527904025
1.654999	-0.00226485000000007
1.669999	-0.4682438
1.689999	-0.470143125
1.709999	-0.405594875
1.724999	-0.2711587
1.744999	0.13827075
1.764999	0.55078525
1.779999	0.55233215
1.799999	0.277331675
1.819999	0.210141825
1.834999	0.28123435
1.854999	0.140614975
1.869999	1.47500000000078e-06
1.889999	0.2156642
1.904999	0.4313328
1.924999	0.506414325
1.939999	0.72768025
1.959999	0.803582925
1.974999	0.6610315
1.989999	0.814089
2.009999	1.040247675
2.024999	0.895719025
2.039999	0.977793875
2.059999	0.9047225
2.074999	0.149411225
2.089999	-0.075112375
2.109999	0.0763533
2.124999	3.07500000001903e-06
2.139999	0.23407385
2.154999	0.468156675
2.17	0.47068185
2.19	0.393925625
2.205	0.07801805
2.22	-0.239583025
2.235	0.0822868
2.25	0.726465875
2.265	0.7277566
2.28	0.488626675
2.295	0.73813715
2.31	0.822183075
2.325001	0.4123983
2.340001	0.50083555
2.355001	0.83618815
2.370001	0.587098725
2.385001	0.253062875
2.400001	0.084503875
2.415001	0.257516225
2.430001	0.515037075
2.445001	0.3442545
2.460001	0.3478585
2.475002	0.523141
2.490002	0.173471825
2.505002	-0.2647526
2.515002	-0.265209175
2.530002	0.1798642
2.545002	0.89657685
2.560002	1.349484725
2.575002	1.5372259
2.585002	1.635519525
2.600002	1.368523875
2.615002	0.9170238
2.630002	0.738122
2.640002	0.648680725
2.655003	0.652934425
2.670003	0.93777515
2.680003	1.12989945
2.695003	1.135626725
2.710003	1.141373325
2.720003	1.0510626
2.735003	0.96077125
2.745003	0.674469725
2.760003	0.095589625
2.775003	-0.2930884
2.785003	-0.6876198
2.800003	-0.985118325
2.810003	-0.79104495
2.825003	-0.496992725
2.835003	-0.198992175
2.850003	0.20197275
2.860003	0.5054376
2.875004	0.4049472
2.885004	-0.308480375
2.900004	-0.819940225
2.910004	-0.306463575
2.920004	0.31101875
2.935004	0.625097225
2.945004	1.6764499
2.960004	2.415274
2.970004	1.7917418
2.980004	1.37933085
2.995004	1.38501245
3.005004	0.85470455
3.015004	0.106055525
3.030004	0.00104690000000005
3.040004	0.435697825
3.050004	1.752269025
3.065004	3.954995125
3.075004	5.292724675
3.085004	6.651700825
3.095004	10.58729575
3.110004	16.22994125
3.120004	20.684279
3.130004	25.75978175
3.140004	34.6274075
3.150004	44.9346725
3.165004	59.7172275
3.175004	82.1071475
3.185004	106.6583725
3.195004	132.1452925
3.205004	161.375845
3.215004	190.0325
3.230004	217.207635
3.240004	248.188365
3.250004	285.2874775
3.260004	319.812325
3.270004	352.421325
3.280004	390.4965
3.290004	424.6473
3.300004	444.8442
3.310004	449.573825
3.320004	443.903525
3.330004	419.353725
3.340004	371.280575
3.350004	315.81925
3.360004	260.32536
3.370004	202.04559
3.380004	156.685525
3.390004	129.1234775
3.400004	105.49856
3.410004	88.07897
3.420004	79.750195
3.430004	72.3485575
3.440004	64.118315
3.450004	60.64185
3.460004	59.6050575
3.470004	58.297615
3.480004	59.231805
3.490004	61.22208
3.495004	63.63913
3.505004	70.6408025
3.515004	77.2690975
3.525004	81.8149425
3.535004	92.388785
3.545004	108.6335425
3.555004	121.5702
3.560004	134.1073025
3.570004	156.9944025
3.580004	184.769465
3.590004	206.0755
3.600004	225.360415
3.605004	245.3501925
3.615004	257.29728
3.625004	260.2673975
3.635004	259.991465
3.640004	256.97242
3.650004	242.38335
3.660004	221.0598725
3.670004	201.85633
3.675004	177.498875
3.685004	152.0854375
3.695004	138.667215
3.700005	126.6902875
3.710005	107.21113
3.720005	90.7107225
3.725005	78.8369975
3.735005	65.947065
3.745005	56.4431375
3.750005	55.3382225
3.760005	56.6386375
3.770005	57.0367725
3.775005	58.20671
3.785005	56.9017425
3.795005	56.6996175
3.800005	60.207755
3.810005	60.1400375
3.815005	61.5151775
3.825005	72.35585
3.835005	88.648785
3.840005	101.7234225
3.850005	113.176875
3.855005	132.11107
3.865005	154.390855
3.870005	167.2976025
3.880005	180.2100725
3.885005	204.460085
3.895005	231.17879
3.900006	255.1603425
3.910006	280.5098
3.920006	301.883825
3.925006	316.46615
3.935006	331.837625
3.940006	344.962325
3.950006	352.800625
3.955006	358.67385
3.960006	365.95305
3.970006	375.329925
3.975006	375.13315
3.985006	367.0629
3.990006	360.285
4.000006	352.928825
4.005006	344.27425
4.015007	325.541225
4.020007	307.948475
4.025007	297.741875
4.035007	281.59105
4.040007	263.90455
4.050007	252.3221175
4.055007	242.2287925
4.060008	232.2455375
4.070008	228.32802
4.075008	228.534205
4.085008	229.28324
4.090008	232.6040825
4.095008	234.451685
4.105009	230.4128825
4.110009	226.7247975
4.115009	231.94551
4.125009	242.213
4.130009	256.711675
4.135009	276.94655
4.14501	293.54345
4.15001	316.966425
4.15501	344.3126
4.16501	370.00445
4.17001	408.0034
4.17501	444.1103
4.18501	481.15525
4.190011	534.40645
4.195011	582.1475
4.200011	625.236375
4.210011	672.551075
4.215011	707.958675
4.220011	715.64435
4.225011	704.93965
4.235012	691.92855
4.240012	668.9497
4.245012	644.015725
4.250012	625.524375
4.260012	603.6075
4.265012	590.5393
4.270012	589.165175
4.275012	571.078025
4.285013	539.9181
4.290013	522.1983
4.295013	523.224
4.300013	532.3543
4.305013	544.48455
4.315013	562.376975
4.320014	575.28795
4.325014	579.41975
4.330014	586.992425
4.335014	589.866125
4.340014	587.0089
4.350014	595.541425
4.355014	601.678175
4.360014	593.787975
4.365015	588.25315
4.370015	590.954575
4.375015	604.211375
4.385015	628.10475
4.390015	656.141025
4.395015	680.13845
4.400015	696.301525
4.405015	720.670375
4.410016	751.21135
4.415016	766.6322
4.420016	765.218125
4.425016	759.49755
4.435016	754.16225
4.440016	737.53745
4.445016	717.1612
4.450016	703.04555
4.455017	696.235375
4.460017	697.693975
4.465017	682.772525
4.470017	654.713525
4.475017	640.5337
4.480017	642.9537
4.485017	651.0232
4.490017	658.913625
4.495018	686.449675
4.505018	732.7629
4.510018	771.9375
4.515018	818.942275
4.520018	888.738125
4.525018	970.674325
4.530018	1052.433675
4.535018	1147.822625
4.540019	1246.224225
4.545019	1323.94035
4.550019	1407.456825
4.555019	1479.53065
4.560019	1501.79005
4.565019	1518.869525
4.570019	1557.032725
4.575019	1576.505125
4.580019	1567.56535
4.58502	1535.4495
4.59002	1486.3026
4.59502	1433.470475
4.60002	1395.91565
4.60502	1364.671525
4.61002	1318.461125
4.61502	1279.485025
4.62002	1265.716575
4.625021	1193.485325
4.630021	1110.068
4.635021	1066.487325
4.640021	1003.57945
4.645021	938.608325
4.650021	880.38615
4.655021	838.062025
4.660021	792.39365
4.665021	756.477925
4.670022	734.258125
4.675022	688.2138
4.680022	649.87435
4.685022	650.049125
4.690022	643.361825
4.695022	645.65515
4.700022	653.8284
4.705022	660.278075
4.710022	689.424025
4.715023	726.359825
4.720023	779.01625
4.725023	828.010125
4.730023	876.2857
4.735023	902.18885
4.740023	912.1533
4.745023	921.830125
4.750023	923.931375
4.755023	930.89815
4.760024	917.542625
4.765024	913.218825
4.770024	909.440975
4.775024	898.99035
4.780024	878.914325
4.785024	840.491125
4.790024	826.854525
4.795024	787.543025
4.800025	756.954425
4.805025	774.656
4.810025	786.383275
4.815025	824.49555
4.820025	856.338475
4.825025	882.8434
4.830025	934.818475
4.835025	978.422925
4.840025	1069.385375
4.845026	1175.1082
4.850026	1241.70545
4.855026	1323.566075
4.860026	1381.3787
4.865026	1417.34305
4.870026	1445.20555
4.875026	1425.9872
4.880026	1435.32335
4.885026	1430.46435
4.890027	1366.197675
4.895027	1353.473075
4.900027	1333.357225
4.905027	1258.017675
4.910027	1218.529825
4.915027	1176.141125
4.920027	1100.0431
4.925027	1051.651875
4.930027	1004.0393
4.935028	945.3918
4.940028	922.480375
4.945028	892.396325
4.950028	854.672675
4.955028	869.628525
4.960028	885.535975
4.965028	859.884925
4.970028	848.729725
4.975029	846.0441
4.980029	835.719425
4.985029	880.901425
4.990029	961.311175
4.995029	1004.32805
5.000029	1037.157625
5.005029	1106.9251
5.010029	1162.894575
5.015029	1152.2752
5.02003	1142.294875
5.02503	1200.30115
5.03003	1236.417325
5.03503	1166.752125
5.04003	1101.01325
5.04503	1104.936
5.05003	1086.42585
5.05503	1045.9473
5.06003	1031.67745
5.065031	1034.4459
5.070031	1028.718975
5.075031	980.713675
5.080031	945.55665
5.085031	987.208675
5.090031	1031.140725
5.095031	1008.919275
5.100031	990.59875
5.105031	1015.40495
5.110032	1044.2188
5.115032	1048.312775
5.120032	1002.759575
